slot	INJPHYS second time	INJPHYS second value
55	2025-06-11 03:09:52.933992	156907552768.0
61	2025-06-11 03:09:52.933992	173644431360.0
71	2025-06-11 03:09:52.933992	162863579136.0
81	2025-06-11 03:09:52.933992	156244885504.0
90	2025-06-11 03:09:52.933992	142026833920.0
98	2025-06-11 03:09:52.933992	141826408448.0
112	2025-06-11 03:09:52.933992	164820664320.0
114	2025-06-11 03:09:52.933992	152963399680.0
124	2025-06-11 03:09:52.933992	160402358272.0
133	2025-06-11 03:09:52.933992	153316982784.0
141	2025-06-11 03:09:52.933992	148512063488.0
155	2025-06-11 03:09:52.933992	149412642816.0
157	2025-06-11 03:09:52.933992	154684686336.0
176	2025-06-11 03:09:52.933992	142816182272.0
208	2025-06-11 03:15:21.933991	151278403584.0
214	2025-06-11 03:15:21.933991	169094742016.0
224	2025-06-11 03:15:21.933991	159258263552.0
234	2025-06-11 03:15:21.933991	157219209216.0
243	2025-06-11 03:15:21.933991	142886436864.0
251	2025-06-11 03:15:21.933991	140634767360.0
265	2025-06-11 03:15:21.933991	163907223552.0
267	2025-06-11 03:15:21.933991	155426029568.0
277	2025-06-11 03:15:21.933991	156534538240.0
286	2025-06-11 03:15:21.933991	143927738368.0
294	2025-06-11 03:15:21.933991	136068939776.0
308	2025-06-11 03:15:21.933991	167876427776.0
310	2025-06-11 03:15:21.933991	157184557056.0
320	2025-06-11 03:15:21.933991	157445652480.0
329	2025-06-11 03:15:21.933991	148846444544.0
337	2025-06-11 03:15:21.933991	140952764416.0
351	2025-06-11 03:15:21.933991	162074001408.0
353	2025-06-11 03:15:21.933991	155045773312.0
372	2025-06-11 03:15:21.933991	157709074432.0
404	2025-06-11 03:16:29.933991	153573818368.0
410	2025-06-11 03:16:29.933991	164007378944.0
420	2025-06-11 03:16:29.933991	158767529984.0
430	2025-06-11 03:16:29.933991	156240691200.0
439	2025-06-11 03:16:29.933991	145560354816.0
447	2025-06-11 03:16:29.933991	137375170560.0
461	2025-06-11 03:16:29.933991	153845628928.0
463	2025-06-11 03:16:29.933991	156625436672.0
473	2025-06-11 03:16:29.933991	151170498560.0
482	2025-06-11 03:16:29.933991	142135689216.0
490	2025-06-11 03:16:29.933991	138165108736.0
504	2025-06-11 03:16:29.933991	164864114688.0
506	2025-06-11 03:16:29.933991	157100179456.0
516	2025-06-11 03:16:29.933991	158463574016.0
525	2025-06-11 03:16:29.933991	149740060672.0
533	2025-06-11 03:16:29.933991	137156853760.0
547	2025-06-11 03:16:29.933991	169703833600.0
549	2025-06-11 03:16:29.933991	155655290880.0
568	2025-06-11 03:16:29.933991	172316065792.0
600	2025-06-11 03:17:54.933992	154438598656.0
606	2025-06-11 03:17:54.933992	176243818496.0
616	2025-06-11 03:17:54.933992	155959689216.0
626	2025-06-11 03:17:54.933992	158327488512.0
635	2025-06-11 03:17:54.933992	149014331392.0
643	2025-06-11 03:17:54.933992	139383439360.0
657	2025-06-11 03:17:54.933992	160696696832.0
659	2025-06-11 03:17:54.933992	154420101120.0
669	2025-06-11 03:17:54.933992	157387816960.0
678	2025-06-11 03:17:54.933992	143300182016.0
686	2025-06-11 03:17:54.933992	138850254848.0
700	2025-06-11 03:17:54.933992	163365847040.0
702	2025-06-11 03:17:54.933992	149727117312.0
712	2025-06-11 03:17:54.933992	155617804288.0
721	2025-06-11 03:17:54.933992	147976552448.0
729	2025-06-11 03:17:54.933992	140188696576.0
