Time (UTC)	Emit_H	Emit_V
2025-06-11 03:05:57.316421200+00:00	0.000000e+00	0.000000e+00
2025-06-11 03:06:07.574291175+00:00	0.000000e+00	0.000000e+00
2025-06-11 03:06:17.842880975+00:00	0.000000e+00	0.000000e+00
2025-06-11 03:06:28.082158325+00:00	0.000000e+00	0.000000e+00
2025-06-11 03:06:38.349742075+00:00	0.000000e+00	0.000000e+00
2025-06-11 03:06:48.592925950+00:00	0.000000e+00	0.000000e+00
2025-06-11 03:07:00.098529875+00:00	0.000000e+00	0.000000e+00
2025-06-11 03:07:10.203889750+00:00	0.000000e+00	0.000000e+00
2025-06-11 03:07:21.196187025+00:00	0.000000e+00	0.000000e+00
2025-06-11 03:07:31.939413200+00:00	0.000000e+00	0.000000e+00
2025-06-11 03:07:42.717891675+00:00	0.000000e+00	0.000000e+00
2025-06-11 03:08:07.438498050+00:00	1.103322e+00	9.505992e-01
2025-06-11 03:08:25.714938300+00:00	1.092102e+00	9.742044e-01
2025-06-11 03:08:43.996170425+00:00	1.111744e+00	9.770516e-01
2025-06-11 03:09:02.344217225+00:00	1.131968e+00	9.560985e-01
2025-06-11 03:09:20.608552775+00:00	1.130713e+00	9.766038e-01
2025-06-11 03:09:40.052301125+00:00	1.136757e+00	9.701611e-01
2025-06-11 03:09:58.442157475+00:00	1.156387e+00	9.744258e-01
2025-06-11 03:10:16.896141750+00:00	1.183875e+00	9.850745e-01
2025-06-11 03:10:35.241465650+00:00	1.184572e+00	9.772592e-01
2025-06-11 03:10:53.640163650+00:00	1.201411e+00	9.929594e-01
2025-06-11 03:11:11.988454625+00:00	1.193033e+00	9.844765e-01
2025-06-11 03:11:30.368560+00:00	1.215587e+00	9.844727e-01
2025-06-11 03:11:48.701807275+00:00	1.219004e+00	9.703418e-01
2025-06-11 03:12:08.079256500+00:00	1.234769e+00	9.775261e-01
2025-06-11 03:12:26.377736900+00:00	1.243712e+00	9.870625e-01
2025-06-11 03:12:44.713214550+00:00	1.240320e+00	9.647867e-01
2025-06-11 03:13:03.050021150+00:00	1.255945e+00	9.904330e-01
2025-06-11 03:13:21.280128300+00:00	1.273124e+00	9.866176e-01
2025-06-11 03:13:39.739700500+00:00	1.272439e+00	9.799602e-01
2025-06-11 03:13:58.146706550+00:00	1.280009e+00	9.826590e-01
2025-06-11 03:14:17.542104550+00:00	1.271747e+00	1.016419e+00
2025-06-11 03:14:48.775575975+00:00	1.295909e+00	9.973846e-01
2025-06-11 03:15:20.404270925+00:00	1.295909e+00	9.973846e-01
2025-06-11 03:16:07.953566625+00:00	1.310971e+00	1.004176e+00
2025-06-11 03:16:47.000429575+00:00	1.310971e+00	1.004176e+00
2025-06-11 03:17:26.728821975+00:00	1.332576e+00	1.015879e+00
2025-06-11 03:18:40.571122050+00:00	1.332576e+00	1.015879e+00
2025-06-11 03:19:11.720179325+00:00	1.332576e+00	1.015879e+00
2025-06-11 03:19:59.131912800+00:00	1.380176e+00	1.013115e+00
2025-06-11 03:21:30.459340675+00:00	1.380176e+00	1.013115e+00
2025-06-11 03:23:30.673124600+00:00	1.433908e+00	1.039127e+00
2025-06-11 03:24:02.990178+00:00	1.452145e+00	1.031023e+00
2025-06-11 03:25:22.204407925+00:00	1.452145e+00	1.031023e+00
2025-06-11 03:26:41.840669150+00:00	1.452145e+00	1.031023e+00
2025-06-11 03:27:56.296004775+00:00	1.452145e+00	1.031023e+00
2025-06-11 03:28:24.215726475+00:00	1.452145e+00	1.031023e+00
2025-06-11 03:29:14.000667750+00:00	1.549690e+00	1.052840e+00
2025-06-11 03:30:38.950470650+00:00	1.549690e+00	1.052840e+00
2025-06-11 03:31:57.606661300+00:00	1.549690e+00	1.052840e+00
2025-06-11 03:33:17.690979625+00:00	1.549690e+00	1.052840e+00
2025-06-11 03:34:25.897016250+00:00	1.549690e+00	1.052840e+00
2025-06-11 03:35:03.645255250+00:00	1.549690e+00	1.052840e+00
2025-06-11 03:35:50.386628375+00:00	1.630260e+00	1.083630e+00
2025-06-11 03:37:15.002644875+00:00	1.630260e+00	1.083630e+00
2025-06-11 03:37:55.313878250+00:00	1.630260e+00	1.083630e+00
2025-06-11 03:38:33.603397575+00:00	1.630260e+00	1.083630e+00
